algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Greedy Search,100004,125000,True,1.00,75,48.81,2091.75,0.00
Greedy Search,100004,62500,True,1.00,71,23.31,1045.88,0.00
Greedy Search,100004,31250,True,1.00,61,10.28,522.94,0.00
Greedy Search,100004,15625,False,0.79,200,15.90,261.47,0.00
Greedy Search,100004,23438,True,1.00,77,9.42,392.21,0.00
Greedy Search,100004,19532,True,1.00,66,6.93,326.85,0.00
Greedy Search,100004,17579,False,0.89,200,17.85,294.17,0.00
Greedy Search,100004,18556,True,1.00,76,7.66,310.52,0.00
Greedy Search,100004,18068,True,1.00,175,15.87,302.35,0.00
Greedy Search,100004,17824,False,0.85,200,18.20,298.27,0.00
Greedy Search,100004,17946,True,1.00,144,13.27,300.31,0.00
Greedy Search,100004,17885,False,0.89,200,18.38,299.29,0.00
Greedy Search,100004,17916,False,0.88,200,18.20,299.81,0.00
Greedy Search,100004,17931,False,0.93,200,18.37,300.06,0.00
Greedy Search,100004,17939,True,1.00,113,10.61,300.19,0.00
Greedy Search,100004,17935,False,0.86,200,18.18,300.12,0.00
Greedy Search,100004,17937,False,0.88,200,18.15,300.16,0.00
Greedy Search,100004,17938,False,0.85,200,18.02,300.17,0.00
Greedy Search,100100,1000000,True,1.00,63,354.15,16747.00,0.10
Greedy Search,100100,500000,True,1.00,72,191.31,8373.50,0.10
Greedy Search,100100,250000,True,1.00,74,98.35,4186.75,0.10
Greedy Search,100100,125000,True,1.00,78,51.09,2093.38,0.10
Greedy Search,100100,62500,True,1.00,72,23.66,1046.69,0.10
Greedy Search,100100,31250,True,1.00,69,11.42,523.34,0.10
Greedy Search,100100,15625,False,0.77,200,15.55,261.67,0.10
Greedy Search,100100,23438,True,1.00,67,8.30,392.52,0.10
Greedy Search,100100,19532,True,1.00,96,9.44,327.10,0.10
Greedy Search,100100,17579,False,0.86,200,17.33,294.40,0.10
Greedy Search,100100,18556,True,1.00,86,8.21,310.76,0.10
Greedy Search,100100,18068,False,0.94,200,17.75,302.58,0.10
Greedy Search,100100,18312,True,1.00,170,15.34,306.67,0.10
Greedy Search,100100,18190,False,0.90,200,17.93,304.63,0.10
Greedy Search,100100,18251,False,0.92,200,18.22,305.65,0.10
Greedy Search,100100,18282,True,1.00,130,11.97,306.17,0.10
Greedy Search,100100,18267,False,0.92,200,18.01,305.92,0.10
Greedy Search,100100,18275,True,1.00,73,7.03,306.05,0.10
Greedy Search,100100,18271,False,0.95,200,17.95,305.98,0.10
Greedy Search,100100,18273,True,1.00,71,6.82,306.02,0.10
Greedy Search,100100,18272,True,1.00,188,16.77,306.00,0.10
Greedy Search,100101,1000000,True,1.00,61,356.20,16659.00,0.10
Greedy Search,100101,500000,True,1.00,71,194.59,8329.50,0.10
Greedy Search,100101,250000,True,1.00,74,98.68,4164.75,0.10
Greedy Search,100101,125000,True,1.00,79,51.85,2082.38,0.10
Greedy Search,100101,62500,True,1.00,72,23.73,1041.19,0.10
Greedy Search,100101,31250,True,1.00,72,11.91,520.59,0.10
Greedy Search,100101,15625,False,0.76,200,15.66,260.30,0.10
Greedy Search,100101,23438,True,1.00,78,9.56,390.45,0.10
Greedy Search,100101,19532,True,1.00,73,7.53,325.38,0.10
Greedy Search,100101,17579,False,0.88,200,17.67,292.85,0.10
Greedy Search,100101,18556,True,1.00,60,6.03,309.12,0.10
Greedy Search,100101,18068,True,1.00,78,7.34,300.99,0.10
Greedy Search,100101,17824,True,1.00,175,15.46,296.93,0.10
Greedy Search,100101,17702,True,1.00,184,16.13,294.90,0.10
Greedy Search,100101,17641,False,0.88,200,17.69,293.88,0.10
Greedy Search,100101,17672,False,0.96,200,17.63,294.40,0.10
Greedy Search,100101,17687,False,0.85,200,17.77,294.65,0.10
Greedy Search,100101,17695,False,0.92,200,17.66,294.78,0.10
Greedy Search,100101,17699,False,0.89,200,17.73,294.85,0.10
Greedy Search,100101,17701,False,0.96,200,17.51,294.88,0.10
Greedy Search,100102,1000000,True,1.00,70,386.19,16739.00,0.10
Greedy Search,100102,500000,True,1.00,79,205.24,8369.50,0.10
Greedy Search,100102,250000,True,1.00,81,104.75,4184.75,0.10
