algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Greedy Search,100201,30604,False,0.93,200,31.28,68261.98,0.20
Greedy Search,100202,1000000,True,1.00,70,398.98,2221668.00,0.20
Greedy Search,100202,500000,True,1.00,20,67.35,1110834.00,0.20
Greedy Search,100202,250000,True,1.00,71,97.26,555417.00,0.20
Greedy Search,100202,125000,True,1.00,70,48.02,277708.50,0.20
Greedy Search,100202,62500,True,1.00,71,24.32,138854.25,0.20
Greedy Search,100202,31250,False,0.93,200,33.00,69427.12,0.20
Greedy Search,100202,46875,True,1.00,70,18.17,104140.69,0.20
Greedy Search,100202,39063,True,1.00,70,15.16,86785.02,0.20
Greedy Search,100202,35157,True,1.00,61,11.94,78107.18,0.20
Greedy Search,100202,33204,False,0.95,200,34.43,73768.26,0.20
Greedy Search,100202,34181,True,1.00,60,11.52,75938.83,0.20
Greedy Search,100202,33693,False,0.95,200,34.50,74854.66,0.20
Greedy Search,100202,33937,True,1.00,71,13.01,75396.75,0.20
Greedy Search,100202,33815,True,1.00,71,12.94,75125.70,0.20
Greedy Search,100202,33754,True,1.00,70,12.71,74990.18,0.20
Greedy Search,100202,33724,True,1.00,70,12.73,74923.53,0.20
Greedy Search,100202,33709,False,0.96,200,34.20,74890.21,0.20
Greedy Search,100202,33717,True,1.00,71,12.80,74907.98,0.20
Greedy Search,100202,33713,True,1.00,70,12.65,74899.09,0.20
Greedy Search,100202,33711,False,0.96,200,34.21,74894.65,0.20
Greedy Search,100202,33712,True,1.00,70,12.70,74896.87,0.20
Greedy Search,100203,1000000,True,1.00,71,406.52,2223021.00,0.20
Greedy Search,100203,500000,True,1.00,71,195.33,1111510.50,0.20
Greedy Search,100203,250000,True,1.00,70,95.91,555755.25,0.20
Greedy Search,100203,125000,True,1.00,60,41.71,277877.62,0.20
Greedy Search,100203,62500,True,1.00,71,23.99,138938.81,0.20
Greedy Search,100203,31250,False,0.94,200,32.24,69469.41,0.20
Greedy Search,100203,46875,True,1.00,71,18.11,104204.11,0.20
Greedy Search,100203,39063,True,1.00,71,15.08,86837.87,0.20
Greedy Search,100203,35157,True,1.00,70,13.41,78154.75,0.20
Greedy Search,100203,33204,True,1.00,70,12.70,73813.19,0.20
Greedy Search,100203,32227,True,1.00,70,12.31,71641.30,0.20
Greedy Search,100203,31739,True,1.00,71,12.30,70556.46,0.20
Greedy Search,100203,31495,True,1.00,70,12.11,70014.05,0.20
