algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100101,24458,True,1.00,70,8.93,55628.60,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24456,True,1.00,70,8.92,55624.05,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100101,24455,True,1.00,70,8.91,55621.77,../../data/gaussian_confusion_matrices/scale_0.10.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100102,1000000,True,1.00,71,395.98,2275201.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,500000,True,1.00,71,190.50,1137600.50,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,250000,True,1.00,60,81.68,568800.25,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,125000,True,1.00,41,29.33,284400.12,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,62500,True,1.00,71,23.14,142200.06,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,31250,True,1.00,70,11.41,71100.03,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,15625,False,0.65,200,15.19,35550.02,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,23438,False,0.88,200,23.34,53326.16,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,27344,True,1.00,71,10.16,62213.10,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25391,False,0.93,200,24.99,57769.63,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,26368,True,1.00,50,7.25,59992.50,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25880,False,0.94,200,25.54,58882.20,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,26124,True,1.00,50,7.18,59437.35,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,26002,True,1.00,70,9.49,59159.78,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25941,True,1.00,71,9.64,59020.99,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25911,True,1.00,71,9.68,58952.73,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25896,True,1.00,71,9.67,58918.61,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25888,True,1.00,71,9.68,58900.40,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25884,True,1.00,70,9.52,58891.30,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25882,False,0.94,200,25.59,58886.75,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100102,25883,True,1.00,70,9.51,58889.03,../../data/gaussian_confusion_matrices/scale_0.10.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100103,1000000,True,1.00,50,288.13,2277116.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,500000,True,1.00,50,140.50,1138558.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,250000,True,1.00,71,93.45,569279.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,125000,True,1.00,71,46.04,284639.50,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,62500,True,1.00,30,11.14,142319.75,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,31250,True,1.00,71,11.58,71159.88,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,15625,False,0.68,200,15.38,35579.94,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,23438,False,0.86,200,23.21,53371.04,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,27344,True,1.00,70,10.01,62265.46,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,25391,False,0.91,200,25.14,57818.25,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26368,False,0.91,200,26.01,60042.99,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26856,True,1.00,60,8.62,61154.23,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26612,False,0.91,200,26.39,60598.61,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26734,True,1.00,71,9.97,60876.42,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26673,True,1.00,70,9.83,60737.52,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26643,True,1.00,60,8.66,60669.20,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26628,True,1.00,71,10.04,60635.04,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26620,True,1.00,60,8.61,60616.83,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26616,True,1.00,60,8.53,60607.72,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26614,True,1.00,60,8.55,60603.17,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100103,26613,True,1.00,60,8.65,60600.89,../../data/gaussian_confusion_matrices/scale_0.10.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100104,1000000,True,1.00,71,385.50,2270436.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,500000,True,1.00,71,184.75,1135218.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,250000,True,1.00,41,57.64,567609.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,125000,True,1.00,71,45.92,283804.50,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,62500,True,1.00,41,14.41,141902.25,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,31250,True,1.00,70,11.40,70951.12,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,15625,False,0.67,200,15.31,35475.56,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,23438,False,0.82,200,23.46,53214.48,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27344,False,0.93,200,26.95,62082.80,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,29297,True,1.00,71,10.82,66516.96,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,28321,True,1.00,50,7.76,64301.02,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27833,True,1.00,70,10.21,63193.05,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27589,False,0.95,200,27.07,62639.06,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27711,False,0.94,200,27.11,62916.05,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27772,True,1.00,70,10.18,63054.55,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27742,True,1.00,74,10.74,62986.44,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27727,False,0.92,200,27.33,62952.38,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27735,True,1.00,74,10.73,62970.54,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27731,False,0.92,200,27.28,62961.46,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27733,True,1.00,74,10.73,62966.00,../../data/gaussian_confusion_matrices/scale_0.10.csv
Greedy Search,100104,27732,False,0.92,200,27.29,62963.73,../../data/gaussian_confusion_matrices/scale_0.10.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100200,1000000,True,1.00,70,401.99,2223853.00,../../data/gaussian_confusion_matrices/scale_0.20.csv
Greedy Search,100200,500000,True,1.00,70,195.75,1111926.50,../../data/gaussian_confusion_matrices/scale_0.20.csv
Greedy Search,100200,250000,True,1.00,71,97.28,555963.25,../../data/gaussian_confusion_matrices/scale_0.20.csv
Greedy Search,100200,125000,True,1.00,70,47.26,277981.62,../../data/gaussian_confusion_matrices/scale_0.20.csv
Greedy Search,100200,62500,True,1.00,60,20.63,138990.81,../../data/gaussian_confusion_matrices/scale_0.20.csv
Greedy Search,100200,31250,False,0.89,200,32.38,69495.41,../../data/gaussian_confusion_matrices/scale_0.20.csv
Greedy Search,100200,46875,True,1.00,71,17.80,104243.11,../../data/gaussian_confusion_matrices/scale_0.20.csv
Greedy Search,100200,39063,True,1.00,71,14.90,86870.37,../../data/gaussian_confusion_matrices/scale_0.20.csv
